,Pla,Loc,Track,Going,Dist,Draw,JW,AW,Time,WOdd,Class
258,10,0,0,1,1800,9,111,1151,110.93,82.0,3
259,1,0,0,1,1000,7,115,1110,56.25,9.0,3
260,2,0,0,1,1000,10,130,1110,56.3,3.3,3
261,3,0,0,1,1000,1,133,1060,56.57,10.0,3
262,4,0,0,1,1000,9,115,1114,56.64,12.0,3
263,5,0,0,1,1000,5,124,1167,56.9,13.0,3
264,6,0,0,1,1000,8,110,1073,57.0,13.0,3
265,7,0,0,1,1000,2,120,1178,57.07,20.0,3
266,8,0,0,1,1000,4,125,1037,57.1,43.0,3
267,9,0,0,1,1000,12,122,1333,57.34,7.7,3
268,10,0,0,1,1000,3,120,1026,57.55,20.0,3
269,11,0,0,1,1000,6,116,1224,57.62,4.8,3
270,12,0,0,1,1000,11,116,1155,57.93,66.0,3
271,1,0,0,1,1400,2,119,1052,82.13,7.2,3
272,2,0,0,1,1400,4,116,1172,82.18,7.1,3
273,3,0,0,1,1400,7,123,1246,82.24,7.6,3
274,4,0,0,1,1400,5,117,1016,82.3,20.0,3
275,5,0,0,1,1400,10,133,1149,82.33,32.0,3
276,6,0,0,1,1400,11,129,1135,82.41,5.6,3
277,7,0,0,1,1400,6,128,1126,82.51,23.0,3
278,8,0,0,1,1400,9,115,1038,82.54,18.0,3
279,9,0,0,1,1400,1,118,1179,82.57,7.0,3
280,10,0,0,1,1400,3,118,1160,82.63,9.1,3
281,11,0,0,1,1400,14,121,1231,82.75,74.0,3
282,12,0,0,1,1400,13,133,1016,82.87,6.4,3
283,13,0,0,1,1400,8,122,1056,83.1,42.0,3
284,14,0,0,1,1400,12,117,1124,84.37,269.0,3
285,1,0,0,1,1400,1,114,1127,81.19,11.0,2
286,2,0,0,1,1400,6,125,1183,81.3,3.7,2
287,3,0,0,1,1400,5,117,1127,81.41,8.1,2
288,4,0,0,1,1400,14,133,1141,81.58,7.3,2
289,5,0,0,1,1400,10,115,1027,81.75,11.0,2
290,6,0,0,1,1400,4,118,1092,81.76,89.0,2
291,7,0,0,1,1400,8,120,1040,81.82,4.8,2
292,7,0,0,1,1400,11,122,1121,81.82,76.0,2
293,9,0,0,1,1400,2,128,1055,81.85,31.0,2
294,10,0,0,1,1400,12,116,1143,81.88,118.0,2
295,11,0,0,1,1400,13,116,1185,81.92,10.0,2
296,12,0,0,1,1400,7,122,1158,82.91,20.0,2
297,13,0,0,1,1400,9,115,1196,83.05,19.0,2
298,14,0,0,1,1400,3,120,1011,83.4,25.0,2
299,1,0,1,2,1650,4,118,1062,99.41,11.0,4
300,2,0,1,2,1650,5,127,1127,99.41,6.0,4
301,3,0,1,2,1650,1,122,1017,99.96,8.9,4
