Pla,Loc,Track,Going,Dist,Draw,JW,AW,Time,WOdd,Class
4,0,0,2,1000,8,116,1112,56.96,6.6,3
5,0,0,2,1000,9,122,1193,57.14,68,3
6,0,0,2,1000,2,127,1163,57.18,39,3
7,0,0,2,1000,6,129,1074,57.73,12,3
8,0,0,2,1000,1,128,1132,57.75,22,3
9,0,0,2,1000,7,127,1126,58.2,21,3
1,0,0,2,1400,1,131,1059,82.42,8.8,5
2,0,0,2,1400,12,130,1162,82.43,3.7,5
3,0,0,2,1400,7,125,1162,83.05,7.8,5
4,0,0,2,1400,8,128,1176,83.14,12,5
5,0,0,2,1400,14,128,1190,83.32,20,5
6,0,0,2,1400,5,126,972,83.43,8.7,5
7,0,0,2,1400,4,133,1039,83.65,206,5
8,0,0,2,1400,3,117,1163,83.83,7.7,5
9,0,0,2,1400,6,120,1058,83.9,17,5
10,0,0,2,1400,13,120,1144,83.92,14,5
11,0,0,2,1400,10,124,1118,84.09,9.5,5
12,0,0,2,1400,9,133,1128,84.27,83,5
13,0,0,2,1400,2,132,1152,84.44,26,5
14,0,0,2,1400,11,128,1141,85.31,25,5
1,0,0,2,1400,10,124,1186,82.29,6.1,4
2,0,0,2,1400,6,125,1076,82.48,17,4
3,0,0,2,1400,2,126,1135,82.48,7,4
4,0,0,2,1400,9,114,1043,82.53,13,4
5,0,0,2,1400,7,114,1197,82.55,5.9,4
6,0,0,2,1400,5,124,1123,82.66,4.3,4
7,0,0,2,1400,3,118,1189,82.85,54,4
8,0,0,2,1400,1,123,1129,82.88,4.1,4
9,0,0,2,1400,8,122,1151,83.14,10,4
10,0,0,2,1400,4,131,1010,83.51,102,4
11,0,0,2,1400,11,111,1048,84.33,73,4
1,0,0,2,1600,7,131,1067,94.55,1.7,4
2,0,0,2,1600,11,127,1117,94.69,10,4
3,0,0,2,1600,4,115,1190,94.81,6.4,4
4,0,0,2,1600,10,123,1254,94.87,10,4
5,0,0,2,1600,9,124,1143,94.98,8.1,4
6,0,0,2,1600,3,115,1266,94.99,30,4
7,0,0,2,1600,6,111,1034,95.03,28,4
8,0,0,2,1600,1,130,1172,95.04,41,4
9,0,0,2,1600,5,120,1085,95.72,41,4
10,0,0,2,1600,2,131,1044,96.22,25,4
11,0,0,2,1600,8,118,1171,97.07,104,4
1,0,0,2,1200,5,128,1083,69.3,7.1,3
2,0,0,2,1200,6,119,1124,69.28,9.2,3
3,0,0,2,1200,8,121,1144,69.52,7.6,3
4,0,0,2,1200,4,122,1091,69.57,4.2,3
5,0,0,2,1200,7,108,1095,69.59,6.5,3
6,0,0,2,1200,3,127,1127,69.63,3.6,3
7,0,0,2,1200,2,116,1190,69.83,9.6,3
8,0,0,2,1200,1,123,1305,70.16,16,3
1,0,0,2,1200,10,125,1024,69.69,9.3,4
2,0,0,2,1200,2,119,1093,69.84,6.1,4
3,0,0,2,1200,1,128,1036,69.85,12,4
4,0,0,2,1200,3,128,997,69.91,2.5,4
5,0,0,2,1200,12,116,1170,69.96,78,4
