Pla,Horse No,Horse,Jockey,Trainer,Act Wt,Declare Horse Wt,Draw,LBW,RunningPos,Finish Time,Win Odds,RaceID,Class,Loc,Length,Going,Track
4,4,RED WARRIOR(B355),A Sanna,J Size,124,1045,10,2-1/4,6 6 4 ,1:11.07,18,18-19-16,Class 3,HV,1200M,GOOD TO FIRM,"T-1F - ""B"" Course"
5,1,MY ALLY(B261),C Schofield,R Gibson,133,1143,3,2-3/4,7 7 5 ,1:11.14,25,18-19-16,Class 3,HV,1200M,GOOD TO FIRM,"T-1F - ""B"" Course"
6,6,HARBO-1 ALERT(T254),G van Niekerk,A T Millard,122,1285,4,2-3/4,3 3 6 ,1:11.16,10,18-19-16,Class 3,HV,1200M,GOOD TO FIRM,"T-1F - ""B"" Course"
7,12,GOOD FOR YOU(T265),H N Wong,Y S Tsui,113,1043,7,3-1/4,9 9 7 ,1:11.22,23,18-19-16,Class 3,HV,1200M,GOOD TO FIRM,"T-1F - ""B"" Course"
8,11,PHANTOM FALCON(A128),K Teetan,L Ho,117,992,8,3-3/4,2 2 8 ,1:11.29,5.9,18-19-16,Class 3,HV,1200M,GOOD TO FIRM,"T-1F - ""B"" Course"
9,5,GENEROUS HEART(V394),W M Lai,C H Yip,122,1117,11,5-1/2,11 11 9 ,1:11.57,19,18-19-16,Class 3,HV,1200M,GOOD TO FIRM,"T-1F - ""B"" Course"
10,7,JOLLY CONVERGENCE(V293),N Callan,T P Yung,122,1079,9,6-1/4,10 10 10 ,1:11.70,34,18-19-16,Class 3,HV,1200M,GOOD TO FIRM,"T-1F - ""B"" Course"
11,10,STORM SOLDIER(B091),C Y Ho,C W Chang,117,1171,6,19-1/4,8 8 11 ,1:13.80,40,18-19-16,Class 3,HV,1200M,GOOD TO FIRM,"T-1F - ""B"" Course"
-1,9,IRON BOY(V071),D Whyte,K W Lui,119,---,---,---,---,---,---,18-19-16,Class 3,HV,1200M,GOOD TO FIRM,"T-1F - ""B"" Course"

1,8,SKY MELODY(B218),Z Purton,C Fownes,120,1241,8,-,5 6 6 1 ,1:40.37,2,18-19-17,Class 3,HV,1650M,GOOD TO FIRM,"T-1F - ""B"" Course"
2,9,CLOUD NINE(T416),K Teetan,A T Millard,115,1120,2,1-3/4,4 4 4 2 ,1:40.65,13,18-19-17,Class 3,HV,1650M,GOOD TO FIRM,"T-1F - ""B"" Course"
3,2,LAND GRANT(V131),C Wong,A T Millard,118,1117,7,2-1/4,1 1 1 3 ,1:40.75,6.7,18-19-17,Class 3,HV,1650M,GOOD TO FIRM,"T-1F - ""B"" Course"
4,10,MCQUEEN(V013),G van Niekerk,D E Ferraris,115,1084,11,3-3/4,11 11 11 4 ,1:40.98,21,18-19-17,Class 3,HV,1650M,GOOD TO FIRM,"T-1F - ""B"" Course"
5,1,THUNDER STOMP(V279),M L Yeung,Y S Tsui,131,1214,1,4-1/4,3 3 3 5 ,1:41.05,11,18-19-17,Class 3,HV,1650M,GOOD TO FIRM,"T-1F - ""B"" Course"
6,5,HAPPY LI-1(V134),K C Leung,L Ho,121,1059,9,4-3/4,10 7 7 6 ,1:41.13,17,18-19-17,Class 3,HV,1650M,GOOD TO FIRM,"T-1F - ""B"" Course"
7,4,GOLDFIELD(A396),C Murray,R Gibson,122,1044,5,5-3/4,9 10 9 7 ,1:41.28,12,18-19-17,Class 3,HV,1650M,GOOD TO FIRM,"T-1F - ""B"" Course"
8,6,HAPPY SPIRIT(V008),M F Poon,K L Man,116,1113,4,6,8 9 8 8 ,1:41.32,37,18-19-17,Class 3,HV,1650M,GOOD TO FIRM,"T-1F - ""B"" Course"
9,7,MULTIGOGO(A204),H N Wong,A S Cruz,117,1129,10,8,2 2 2 9 ,1:41.63,11,18-19-17,Class 3,HV,1650M,GOOD TO FIRM,"T-1F - ""B"" Course"
10,11,HO HO -1EL(T029),W M Lai,C H Yip,114,1166,3,8-3/4,6 5 5 10 ,1:41.76,33,18-19-17,Class 3,HV,1650M,GOOD TO FIRM,"T-1F - ""B"" Course"
11,3,LUCKY GIRL(T355),A Sanna,C S Shum,128,1205,6,17,7 8 10 11 ,1:43.08,13,18-19-17,Class 3,HV,1650M,GOOD TO FIRM,"T-1F - ""B"" Course"

1,11,SUPER HOPPY(A372),C Schofield,C S Shum,117,1214,3,-,9 9 1 ,1:10.67,4.6,18-19-18,Class 2,HV,1200M,GOOD TO FIRM,"T-1F - ""B"" Course"
2,3,FORTUNE BOOTH(A418),Z Purton,M J Freedman    ,127,1090,1,SH,7 5 2 ,1:10.68,2.5,18-19-18,Class 2,HV,1200M,GOOD TO FIRM,"T-1F - ""B"" Course"
3,7,CHEERFULJET(A188),U Rispoli,C Fownes,119,1115,7,1,1 1 3 ,1:10.84,21,18-19-18,Class 2,HV,1200M,GOOD TO FIRM,"T-1F - ""B"" Course"
4,6,ALMABABY(V057),H N Wong,Y S Tsui,118,1135,2,1-1/4,5 4 4 ,1:10.88,35,18-19-18,Class 2,HV,1200M,GOOD TO FIRM,"T-1F - ""B"" Course"
5,2,SUPER T-1BO(V310),C Y Ho,D J Hall,130,1051,11,1-1/2,10 10 5 ,1:10.91,17,18-19-18,Class 2,HV,1200M,GOOD TO FIRM,"T-1F - ""B"" Course"
6,8,KINGSFIELD(T403),M F Poon,R Gibson,114,1142,9,1-1/2,8 7 6 ,1:10.92,15,18-19-18,Class 2,HV,1200M,GOOD TO FIRM,"T-1F - ""B"" Course"
7,9,FANTASTIC EIGHT(A079),M Chadwick,P F Yiu,118,1181,4,1-3/4,4 3 7 ,1:10.97,12,18-19-18,Class 2,HV,1200M,GOOD TO FIRM,"T-1F - ""B"" Course"
8,1,WAH MAY FRIEND(T309),H T Mo,A S Cruz,128,1065,5,3,6 8 8 ,1:11.14,25,18-19-18,Class 2,HV,1200M,GOOD TO FIRM,"T-1F - ""B"" Course"
9,4,BOLD STITCH(S323),K Teetan,A T Millard,124,1138,8,3-1/2,11 11 9 ,1:11.24,8,18-19-18,Class 2,HV,1200M,GOOD TO FIRM,"T-1F - ""B"" Course"
