
Pla,Horse No,Horse,Jockey,Trainer,Act Wt,Declare Horse Wt,Draw,LBW,RunningPos,Finish Time,Win Odds,RaceID,Class,Loc,Length,Going,Track
7,1,MULTIGOGO(A204),A Sanna,A S Cruz,131,1133,5,5-3/4,3 3 7 7 ,1:23.37,34,20-21-305,Class 4,ST,1400M,GOOD,"TURF - ""C"" Course"
8,12,VIRTUS STAR(B395),C Schofield,D J Hall,119,1067,6,5-3/4,9 9 8 8 ,1:23.38,37,20-21-305,Class 4,ST,1400M,GOOD,"TURF - ""C"" Course"
9,4,MONICA(B271),D Whyte,J Moore,126,1013,9,6-3/4,11 10 10 9 ,1:23.56,6.2,20-21-305,Class 4,ST,1400M,GOOD,"TURF - ""C"" Course"
10,9,REGENCY GEM(C035),A Badel,W Y So,123,1186,3,7-1/2,2 2 4 10 ,1:23.66,36,20-21-305,Class 4,ST,1400M,GOOD,"TURF - ""C"" Course"
11,10,WICKER(B425),M Chadwick,R Gibson,123,1178,13,9-1/2,13 13 13 11 ,1:23.99,222,20-21-305,Class 4,ST,1400M,GOOD,"TURF - ""C"" Course"
12,2,HEALTHY TREASURE(B482),C Y Ho,K L Man,126,1194,8,9-3/4,10 11 12 12 ,1:24.01,201,20-21-305,Class 4,ST,1400M,GOOD,"TURF - ""C"" Course"
13,13,GUERDON HELMET(B007),H N Wong,D E Ferraris,115,1041,2,15-1/4,7 7 11 13 ,1:24.91,280,20-21-305,Class 4,ST,1400M,GOOD,"TURF - ""C"" Course"
Pla,Horse No,Horse,Jockey,Trainer,Act Wt,Declare Horse Wt,Draw,LBW,RunningPos,Finish Time,Win Odds,RaceID,Class,Loc,Length,Going,Track
1,12,BIG PARTY(B461),G van Niekerk,F C Lor,117,1208,1,-,3 2 1 ,1:08.99,2.1,20-21-306,Class 3,ST,1200M,GOOD,"TURF - ""C"" Course"
2,11,GRADE ONE(A010),K Teetan,P O'Sullivan,117,1206,12,1-1/2,12 9 2 ,1:09.22,10,20-21-306,Class 3,ST,1200M,GOOD,"TURF - ""C"" Course"
3,4,ALCARI(A354),S de Sousa,P F Yiu,126,1215,5,3,4 3 3 ,1:09.46,6.2,20-21-306,Class 3,ST,1200M,GOOD,"TURF - ""C"" Course"
4,7,HONEST WAY(B200),D Whyte,D E Ferraris,121,1191,6,4-1/4,8 6 4 ,1:09.65,5.8,20-21-306,Class 3,ST,1200M,GOOD,"TURF - ""C"" Course"
