
Pla,Horse No,Horse,Jockey,Trainer,Act Wt,Declare Horse Wt,Draw,LBW,RunningPos,Finish Time,Win Odds,RaceID,Class,Loc,Length,Going,Track
12,5,MAJESTIC ENDEAVOUR(A399),Z Purton,C Fownes,131,1170,12,17,10 10 10 12 ,1:37.22,10,19-20-31,Class 5,ST,1600M,GOOD TO FIRM,"TURF - ""C+3"" Course"
Pla,Horse No,Horse,Jockey,Trainer,Act Wt,Declare Horse Wt,Draw,LBW,RunningPos,Finish Time,Win Odds,RaceID,Class,Loc,Length,Going,Track
1,3,VITAL SPRING(A057),C Y Ho,K W Lui,133,1125,9,-,7 9 8 1 ,1:23.10,5.6,19-20-32,Class 5,ST,1400M,GOOD TO FIRM,"TURF - ""C+3"" Course"
2,8,BIG BULLY(B028),N Callan,D J Hall,128,1132,2,N,6 6 6 2 ,1:23.14,6,19-20-32,Class 5,ST,1400M,GOOD TO FIRM,"TURF - ""C+3"" Course"
3,1,FLYING NOBLE(A267),M L Yeung,T P Yung,131,1203,4,1/2,4 3 3 3 ,1:23.21,13,19-20-32,Class 5,ST,1400M,GOOD TO FIRM,"TURF - ""C+3"" Course"
4,5,JOY MASTER(B222),Z Purton,C Fownes,131,1057,12,1,9 10 9 4 ,1:23.27,8.4,19-20-32,Class 5,ST,1400M,GOOD TO FIRM,"TURF - ""C+3"" Course"
5,4,HARBOUR CENTURY(A407),K C Leung,C W Chang,131,1158,7,1-1/4,2 2 2 5 ,1:23.31,39,19-20-32,Class 5,ST,1400M,GOOD TO FIRM,"TURF - ""C+3"" Course"
6,9,CAPTAIN BOSS(B096),M Chadwick,A T Millard,127,1158,1,1-3/4,8 7 7 6 ,1:23.37,4.2,19-20-32,Class 5,ST,1400M,GOOD TO FIRM,"TURF - ""C+3"" Course"
7,2,KWAI CHUNG ELITE(C173),B Shinn,R Gibson,133,1114,5,2-1/4,3 4 5 7 ,1:23.46,5.3,19-20-32,Class 5,ST,1400M,GOOD TO FIRM,"TURF - ""C+3"" Course"
8,6,FRIENDS OF NANJING(V140),C Schofield,K L Man,130,1192,11,2-1/4,10 13 11 8 ,1:23.47,37,19-20-32,Class 5,ST,1400M,GOOD TO FIRM,"TURF - ""C+3"" Course"
9,12,KING MORTAR(A097),H W Lai,L Ho,125,1126,10,3-1/4,1 1 1 9 ,1:23.63,146,19-20-32,Class 5,ST,1400M,GOOD TO FIRM,"TURF - ""C+3"" Course"
10,10,SOCCER MASTER(B452),J Moreira,D E Ferraris,126,1107,14,3-1/2,11 11 10 10 ,1:23.65,26,19-20-32,Class 5,ST,1400M,GOOD TO FIRM,"TURF - ""C+3"" Course"
11,7,LIVERBIRD STAR(A405),K Teetan,P O'Sullivan,130,1170,6,3-1/2,5 5 4 11 ,1:23.67,9.6,19-20-32,Class 5,ST,1400M,GOOD TO FIRM,"TURF - ""C+3"" Course"
12,13,CHATER THUNDER(A325),A Sanna,D J Whyte,121,1011,3,4-1/4,12 8 12 12 ,1:23.78,35,19-20-32,Class 5,ST,1400M,GOOD TO FIRM,"TURF - ""C+3"" Course"
13,11,FIRE AND GOLD(B004),K H Chan,C H Yip,115,1064,13,5-1/2,13 14 13 13 ,1:23.97,115,19-20-32,Class 5,ST,1400M,GOOD TO FIRM,"TURF - ""C+3"" Course"
14,14,WHAMPOA STAR(B146),T H So,Y S Tsui,116,1147,8,5-1/2,14 12 14 14 ,1:23.99,85,19-20-32,Class 5,ST,1400M,GOOD TO FIRM,"TURF - ""C+3"" Course"
Pla,Horse No,Horse,Jockey,Trainer,Act Wt,Declare Horse Wt,Draw,LBW,RunningPos,Finish Time,Win Odds,RaceID,Class,Loc,Length,Going,Track
1,3,SOLOMON'S BAY(B330),Z Purton,F C Lor,127,1045,7,-,6 3 1 ,1:08.53,8,19-20-33,Class 3,ST,1200M,GOOD TO FIRM,"TURF - ""C+3"" Course"
2,8,CALIFORNIA GUNGHO(B204),J Moreira,A S Cruz,116,1137,5,N,1 1 2 ,1:08.59,1.8,19-20-33,Class 3,ST,1200M,GOOD TO FIRM,"TURF - ""C+3"" Course"
3,6,NEW ASIA SUNRISE(T268),C Y Ho,Y S Tsui,123,997,6,1-1/2,4 8 3 ,1:08.78,4.7,19-20-33,Class 3,ST,1200M,GOOD TO FIRM,"TURF - ""C+3"" Course"
4,7,GRATWICK(B110),M Chadwick,T P Yung,121,1229,8,2-1/4,8 4 4 ,1:08.89,34,19-20-33,Class 3,ST,1200M,GOOD TO FIRM,"TURF - ""C+3"" Course"
5,1,SUPER WISE(A100),K H Chan,K L Man,123,1108,1,2-1/2,2 2 5 ,1:08.93,5.6,19-20-33,Class 3,ST,1200M,GOOD TO FIRM,"TURF - ""C+3"" Course"
6,4,THRILLED(C213),M L Yeung,T P Yung,124,1120,3,3-1/4,3 6 6 ,1:09.06,15,19-20-33,Class 3,ST,1200M,GOOD TO FIRM,"TURF - ""C+3"" Course"
7,9,DECISIVE ACTION(C152),T H So,C H Yip,114,1065,4,3-1/4,7 7 7 ,1:09.06,81,19-20-33,Class 3,ST,1200M,GOOD TO FIRM,"TURF - ""C+3"" Course"
8,5,SUMSTREETSUMWHERE(B283),U Rispoli,L Ho,124,1066,10,3-1/2,9 9 8 ,1:09.10,44,19-20-33,Class 3,ST,1200M,GOOD TO FIRM,"TURF - ""C+3"" Course"
9,10,WINSTON'S LAD(T348),H W Lai,K W Lui,114,1083,9,4-1/4,10 10 9 ,1:09.20,44,19-20-33,Class 3,ST,1200M,GOOD TO FIRM,"TURF - ""C+3"" Course"
10,2,GEORGIAN MANOR(C264),H N Wong,K H Ting,124,1135,2,16-3/4,5 5 10 ,1:11.22,108,19-20-33,Class 3,ST,1200M,GOOD TO FIRM,"TURF - ""C+3"" Course"
Pla,Horse No,Horse,Jockey,Trainer,Act Wt,Declare Horse Wt,Draw,LBW,RunningPos,Finish Time,Win Odds,RaceID,Class,Loc,Length,Going,Track
1,6,MONKEY JEWELLERY(B378),J Moreira,J Size,133,1071,6,-,4 4 1 ,1:09.30,2.7,19-20-34,Class 4,ST,1200M,GOOD TO FIRM,"TURF - ""C+3"" Course"
2,8,FRESH POWER(B067),G van Niekerk,Y S Tsui,123,1017,3,SH,5 5 2 ,1:09.31,9,19-20-34,Class 4,ST,1200M,GOOD TO FIRM,"TURF - ""C+3"" Course"
3,5,LUCKY GUY(T349),B Shinn,C H Yip,124,1196,7,1,9 7 3 ,1:09.46,6.9,19-20-34,Class 4,ST,1200M,GOOD TO FIRM,"TURF - ""C+3"" Course"
4,7,COLORADO HIGH(C177),C Schofield,R Gibson,123,1221,9,1,2 2 4 ,1:09.47,23,19-20-34,Class 4,ST,1200M,GOOD TO FIRM,"TURF - ""C+3"" Course"
5,4,MAJESTIC CONQUEROR(C363),M L Yeung,T P Yung,123,1112,2,1-3/4,3 3 5 ,1:09.57,15,19-20-34,Class 4,ST,1200M,GOOD TO FIRM,"TURF - ""C+3"" Course"
6,9,FOODIE PRINCESS(C312),T H So,W Y So,120,1279,4,2-3/4,10 11 6 ,1:09.72,165,19-20-34,Class 4,ST,1200M,GOOD TO FIRM,"TURF - ""C+3"" Course"
7,12,GLITTERING ARMOUR(B016),C Y Ho,K W Lui,118,1164,5,2-3/4,11 10 7 ,1:09.73,7.3,19-20-34,Class 4,ST,1200M,GOOD TO FIRM,"TURF - ""C+3"" Course"
8,2,BRIGHT KID(C060),A Sanna,D J Whyte,128,1140,10,3,6 6 8 ,1:09.76,5.5,19-20-34,Class 4,ST,1200M,GOOD TO FIRM,"TURF - ""C+3"" Course"
9,11,SHINEALOT(C046),K Teetan,P O'Sullivan,119,1047,1,3,8 9 9 ,1:09.79,20,19-20-34,Class 4,ST,1200M,GOOD TO FIRM,"TURF - ""C+3"" Course"
10,1,BINGO(A301),K H Chan,J Moore,121,1205,11,3,1 1 10 ,1:09.79,10,19-20-34,Class 4,ST,1200M,GOOD TO FIRM,"TURF - ""C+3"" Course"
11,3,CHEERFUL LEADER(C394),H W Lai,P F Yiu,125,1062,8,4-1/2,7 8 11 ,1:10.01,200,19-20-34,Class 4,ST,1200M,GOOD TO FIRM,"TURF - ""C+3"" Course"
12,10,SPEEDY MISSILE(C281),U Rispoli,K H Ting,122,1150,12,4-3/4,12 12 12 ,1:10.06,72,19-20-34,Class 4,ST,1200M,GOOD TO FIRM,"TURF - ""C+3"" Course"
WV,,BREEZE OF SPRING(C309),Z Purton,L Ho,123,---,---,---,---,---,---,19-20-34,Class 4,ST,1200M,GOOD TO FIRM,"TURF - ""C+3"" Course"
Pla,Horse No,Horse,Jockey,Trainer,Act Wt,Declare Horse Wt,Draw,LBW,RunningPos,Finish Time,Win Odds,RaceID,Class,Loc,Length,Going,Track
1,5,SIMPLE ELEGANT(B464),G van Niekerk,P F Yiu,127,1079,10,-,1 1 1 1 ,1:21.15,11,19-20-35,Class 4,ST,1400M,GOOD TO FIRM,"TURF - ""C+3"" Course"
2,11,SPRINT FORWARD(C353),Z Purton,J Moore,122,1124,5,1-1/4,8 8 7 2 ,1:21.32,11,19-20-35,Class 4,ST,1400M,GOOD TO FIRM,"TURF - ""C+3"" Course"
3,14,DIONYSUS COLLIN(B436),M Chadwick,K W Lui,117,1044,1,2-3/4,13 12 8 3 ,1:21.54,13,19-20-35,Class 4,ST,1400M,GOOD TO FIRM,"TURF - ""C+3"" Course"
4,12,HURRICANE HUNTER(A123),J Moreira,C H Yip,121,1139,2,2-3/4,9 10 9 4 ,1:21.56,3.4,19-20-35,Class 4,ST,1400M,GOOD TO FIRM,"TURF - ""C+3"" Course"
5 DH,6,VICTORY POWER(B294),C Schofield,D J Whyte,127,1100,3,2-3/4,5 6 6 5 ,1:21.56,2.6,19-20-35,Class 4,ST,1400M,GOOD TO FIRM,"TURF - ""C+3"" Course"
5 DH,13,TELECOM ROCKET(C137),K Teetan,Y S Tsui,119,1053,13,2-3/4,4 3 4 5 ,1:21.56,17,19-20-35,Class 4,ST,1400M,GOOD TO FIRM,"TURF - ""C+3"" Course"
7,3,CARE FREE PRINCE(V069),K H Chan,K L Man,119,1145,6,3,2 5 3 7 ,1:21.63,58,19-20-35,Class 4,ST,1400M,GOOD TO FIRM,"TURF - ""C+3"" Course"
8,9,MURRAY'S PARTNERS(B426),B Shinn,C H Yip,123,1060,4,3-1/2,6 4 5 8 ,1:21.71,31,19-20-35,Class 4,ST,1400M,GOOD TO FIRM,"TURF - ""C+3"" Course"
9,8,KA YING BRILLIANCE(B115),M L Yeung,T P Yung,122,1161,11,6-3/4,11 11 12 9 ,1:22.23,41,19-20-35,Class 4,ST,1400M,GOOD TO FIRM,"TURF - ""C+3"" Course"
10,10,WINNING CONTROLLER(A075),H N Wong,C H Yip,120,1095,8,8-3/4,10 9 11 10 ,1:22.55,61,19-20-35,Class 4,ST,1400M,GOOD TO FIRM,"TURF - ""C+3"" Course"
11,4,KING'S RACE(C249),C Y Ho,K H Ting,127,1201,7,13-1/2,7 7 10 11 ,1:23.29,10,19-20-35,Class 4,ST,1400M,GOOD TO FIRM,"TURF - ""C+3"" Course"
12,2,VIVA COUNCIL(A190),H T Mo,L Ho,127,1118,12,13-1/2,3 2 2 12 ,1:23.30,29,19-20-35,Class 4,ST,1400M,GOOD TO FIRM,"TURF - ""C+3"" Course"
13,7,WINNING TOGETHER(B356),R Bayliss,C W Chang,127,1186,9,16-1/4,12 13 13 13 ,1:23.74,136,19-20-35,Class 4,ST,1400M,GOOD TO FIRM,"TURF - ""C+3"" Course"
WV,1,DIAMOND RHYME(B183),K C Leung,W Y So,133,---,---,---,---,---,---,19-20-35,Class 4,ST,1400M,GOOD TO FIRM,"TURF - ""C+3"" Course"
Pla,Horse No,Horse,Jockey,Trainer,Act Wt,Declare Horse Wt,Draw,LBW,RunningPos,Finish Time,Win Odds,RaceID,Class,Loc,Length,Going,Track
1,1,BUDDIES(C019),Z Purton,J Moore,133,1177,2,-,2 2 2 1 ,1:38.59,1.6,19-20-36,Class 3,ST,1650M,GOOD,ALL WEATHER TRACK
2,5,BEAR SLAM(C143),N Callan,D E Ferraris,123,1022,11,1-1/4,3 3 3 2 ,1:38.78,15,19-20-36,Class 3,ST,1650M,GOOD,ALL WEATHER TRACK
3,4,HAPPY SEBRING(B189),K Teetan,A S Cruz,125,1179,10,1-3/4,11 10 7 3 ,1:38.87,7.2,19-20-36,Class 3,ST,1650M,GOOD,ALL WEATHER TRACK
4,10,RULETHEROOST(B299),C Schofield,F C Lor,118,1111,4,3-1/4,5 5 5 4 ,1:39.12,28,19-20-36,Class 3,ST,1650M,GOOD,ALL WEATHER TRACK
5 DH,3,VOLPINO(B161),J Moreira,T P Yung,127,1116,3,4,6 6 6 5 ,1:39.23,7.9,19-20-36,Class 3,ST,1650M,GOOD,ALL WEATHER TRACK
5 DH,9,RIGHTEOUS DOCTRINE(C197),M L Yeung,C W Chang,118,1133,5,4,8 8 8 5 ,1:39.23,8.4,19-20-36,Class 3,ST,1650M,GOOD,ALL WEATHER TRACK
7,8,TANG FLEMING(A067),K H Chan,C W Chang,111,1183,9,5,1 1 1 7 ,1:39.39,24,19-20-36,Class 3,ST,1650M,GOOD,ALL WEATHER TRACK
8,7,OWNERS' STAR(B427),H T Mo,C S Shum,118,1049,7,5-1/2,9 9 10 8 ,1:39.45,89,19-20-36,Class 3,ST,1650M,GOOD,ALL WEATHER TRACK
9,2,CHUNG WAH SPIRIT(A168),T H So,C H Yip,127,1091,1,7-1/4,4 4 4 9 ,1:39.74,71,19-20-36,Class 3,ST,1650M,GOOD,ALL WEATHER TRACK
10,12,RIGHT HONOURABLE(A164),K C Leung,R Gibson,116,1018,8,9-1/2,10 11 11 10 ,1:40.11,74,19-20-36,Class 3,ST,1650M,GOOD,ALL WEATHER TRACK
11,6,RULE THEE(A172),U Rispoli,P O'Sullivan,123,1044,6,11-3/4,7 7 9 11 ,1:40.47,43,19-20-36,Class 3,ST,1650M,GOOD,ALL WEATHER TRACK
WV,11,CLEAR CHOICE(A426),G van Niekerk,C S Shum,117,---,---,---,---,---,---,19-20-36,Class 3,ST,1650M,GOOD,ALL WEATHER TRACK
Pla,Horse No,Horse,Jockey,Trainer,Act Wt,Declare Horse Wt,Draw,LBW,RunningPos,Finish Time,Win Odds,RaceID,Class,Loc,Length,Going,Track
1,5,WATER DIVINER(V356),M Chadwick,K W Lui,121,1178,8,-,9 5 1 ,1:08.19,30,19-20-37,Class 2,ST,1200M,GOOD TO FIRM,"TURF - ""C+3"" Course"
2,7,FAT TURTLE(C215),G van Niekerk,F C Lor,117,1143,4,SH,3 3 2 ,1:08.20,3.1,19-20-37,Class 2,ST,1200M,GOOD TO FIRM,"TURF - ""C+3"" Course"
3,1,CALIFORNIA WHIP(A114),K H Chan,A S Cruz,123,1148,2,1-1/2,5 4 3 ,1:08.44,9.7,19-20-37,Class 2,ST,1200M,GOOD TO FIRM,"TURF - ""C+3"" Course"
4,10,HANDSOME BO BO(B119),H W Lai,K L Man,114,1167,1,2,1 1 4 ,1:08.52,15,19-20-37,Class 2,ST,1200M,GOOD TO FIRM,"TURF - ""C+3"" Course"
5,6,LUCKY HERO(B057),C Y Ho,C S Shum,118,1175,9,3,10 12 5 ,1:08.68,24,19-20-37,Class 2,ST,1200M,GOOD TO FIRM,"TURF - ""C+3"" Course"
6,8,PERFECT GLORY(B411),H N Wong,C Fownes,114,1101,10,3-1/4,12 11 6 ,1:08.70,228,19-20-37,Class 2,ST,1200M,GOOD TO FIRM,"TURF - ""C+3"" Course"
7,4,RACING FIGHTER(B285),Z Purton,C H Yip,124,1150,11,3-1/4,11 8 7 ,1:08.70,6.9,19-20-37,Class 2,ST,1200M,GOOD TO FIRM,"TURF - ""C+3"" Course"
8,12,TEAM SPIRIT(B230),T H So,W Y So,112,1180,12,3-1/2,2 2 8 ,1:08.75,181,19-20-37,Class 2,ST,1200M,GOOD TO FIRM,"TURF - ""C+3"" Course"
9,3,RAGING STORM(B173),J Moreira,J Size,128,1156,6,3-3/4,7 10 9 ,1:08.80,6.6,19-20-37,Class 2,ST,1200M,GOOD TO FIRM,"TURF - ""C+3"" Course"
10,9,HELLO BEAUTY(B410),C Schofield,J Moore,117,1180,3,5,8 6 10 ,1:09.00,4.4,19-20-37,Class 2,ST,1200M,GOOD TO FIRM,"TURF - ""C+3"" Course"
11,11,PRANCE DRAGON(B349),K Teetan,A T Millard,114,1102,5,6,6 9 11 ,1:09.15,21,19-20-37,Class 2,ST,1200M,GOOD TO FIRM,"TURF - ""C+3"" Course"
12,2,STYLING CITY(B280),B Shinn,J Moore,130,1172,7,8,4 7 12 ,1:09.45,13,19-20-37,Class 2,ST,1200M,GOOD TO FIRM,"TURF - ""C+3"" Course"
Pla,Horse No,Horse,Jockey,Trainer,Act Wt,Declare Horse Wt,Draw,LBW,RunningPos,Finish Time,Win Odds,RaceID,Class,Loc,Length,Going,Track
1,3,HAPPY FUN(B316),Z Purton,C S Shum,130,1131,1,-,1 1 1 1 ,1:21.20,2,19-20-38,Class 3,ST,1400M,GOOD TO FIRM,"TURF - ""C+3"" Course"
2 DH,2,COT CAMPBELL(C298),K C Leung,A T Millard,133,1076,7,1-1/2,9 9 7 2 ,1:21.44,56,19-20-38,Class 3,ST,1400M,GOOD TO FIRM,"TURF - ""C+3"" Course"
2 DH,9,MIGHTY MAVERICK(V150),C Y Ho,C Fownes,120,1163,10,1-1/2,5 5 5 2 ,1:21.44,14,19-20-38,Class 3,ST,1400M,GOOD TO FIRM,"TURF - ""C+3"" Course"
4,11,CIRCUIT HASSLER(A041),J Moreira,A S Cruz,119,1178,8,1-3/4,2 2 2 4 ,1:21.49,5.2,19-20-38,Class 3,ST,1400M,GOOD TO FIRM,"TURF - ""C+3"" Course"
5,5,FLYING QUEST(A071),K H Chan,D J Hall,114,1072,13,3,13 14 11 5 ,1:21.66,90,19-20-38,Class 3,ST,1400M,GOOD TO FIRM,"TURF - ""C+3"" Course"
6,8,LOOKING GOOD(B256),G van Niekerk,F C Lor,122,1154,4,3-1/4,3 3 4 6 ,1:21.70,10,19-20-38,Class 3,ST,1400M,GOOD TO FIRM,"TURF - ""C+3"" Course"
7,13,AMAZING LUCK(B401),K Teetan,P O'Sullivan,118,1159,9,3-1/2,4 4 3 7 ,1:21.73,12,19-20-38,Class 3,ST,1400M,GOOD TO FIRM,"TURF - ""C+3"" Course"
8,10,ULTIMATE GLORY(S235),H W Lai,K L Man,120,1268,3,4,6 6 6 8 ,1:21.82,70,19-20-38,Class 3,ST,1400M,GOOD TO FIRM,"TURF - ""C+3"" Course"
9,4,TASHIDELEK(C084),N Callan,J Moore,129,1116,14,4,14 13 9 9 ,1:21.82,30,19-20-38,Class 3,ST,1400M,GOOD TO FIRM,"TURF - ""C+3"" Course"
10,1,ASSIMILATE(C160),C Schofield,K H Ting,133,1096,6,4-1/2,8 10 10 10 ,1:21.92,8.4,19-20-38,Class 3,ST,1400M,GOOD TO FIRM,"TURF - ""C+3"" Course"
11,12,UNICORNBABY(C203),R Bayliss,R Gibson,119,1129,11,5-1/2,11 11 12 11 ,1:22.06,35,19-20-38,Class 3,ST,1400M,GOOD TO FIRM,"TURF - ""C+3"" Course"
12,14,HO HO FEEL(T029),H T Mo,C H Yip,114,1163,2,5-3/4,10 12 8 12 ,1:22.11,150,19-20-38,Class 3,ST,1400M,GOOD TO FIRM,"TURF - ""C+3"" Course"
13,7,MONGOLIAN LEGEND(B317),T H So,Y S Tsui,121,1130,5,20-1/2,7 8 14 13 ,1:24.48,23,19-20-38,Class 3,ST,1400M,GOOD TO FIRM,"TURF - ""C+3"" Course"
14,6,BEAR AGAIN(C301),M Chadwick,D E Ferraris,123,1061,12,26-1/4,12 7 13 14 ,1:25.40,154,19-20-38,Class 3,ST,1400M,GOOD TO FIRM,"TURF - ""C+3"" Course"
Pla,Horse No,Horse,Jockey,Trainer,Act Wt,Declare Horse Wt,Draw,LBW,RunningPos,Finish Time,Win Odds,RaceID,Class,Loc,Length,Going,Track
1,2,MERIDIAN GENIUS(C067),J Moreira,A T Millard,131,1125,5,-,11 6 1 ,0:56.81,5.4,19-20-40,Class 4,ST,1000M,GOOD TO FIRM,"TURF - ""A"" Course"
2,8,VICTORY POWER(B294),Z Purton,D J Whyte,126,1105,14,NOSE,6 5 2 ,0:56.81,2.8,19-20-40,Class 4,ST,1000M,GOOD TO FIRM,"TURF - ""A"" Course"
3,7,QUADRUPLE DOUBLE(B250),M F Poon,D J Hall,123,1105,7,4,2 1 3 ,0:57.44,10,19-20-40,Class 4,ST,1000M,GOOD TO FIRM,"TURF - ""A"" Course"
4,4,SUNSHINE UNIVERSE(A130),K H Chan,R Gibson,120,1085,8,4-1/2,10 10 4 ,0:57.52,15,19-20-40,Class 4,ST,1000M,GOOD TO FIRM,"TURF - ""A"" Course"
5,3,GUNNAR(C222),N Callan,C Fownes,130,1123,4,6-1/2,7 4 5 ,0:57.83,3.7,19-20-40,Class 4,ST,1000M,GOOD TO FIRM,"TURF - ""A"" Course"
6,11,G UNIT(C329),G van Niekerk,J Moore,124,1030,13,6-3/4,1 2 6 ,0:57.89,16,19-20-40,Class 4,ST,1000M,GOOD TO FIRM,"TURF - ""A"" Course"
7,13,JIMSON THE DRAGON(C017),A Sanna,C H Yip,119,1054,12,7,4 7 7 ,0:57.93,57,19-20-40,Class 4,ST,1000M,GOOD TO FIRM,"TURF - ""A"" Course"
8,1,E GENERATION(C322),R Bayliss,K L Man,131,1081,10,7-3/4,12 11 8 ,0:58.04,110,19-20-40,Class 4,ST,1000M,GOOD TO FIRM,"TURF - ""A"" Course"
9,12,GUN GUN WIN(C092),C Schofield,W Y So,123,1085,2,7-3/4,9 9 9 ,0:58.06,45,19-20-40,Class 4,ST,1000M,GOOD TO FIRM,"TURF - ""A"" Course"
10,9,WONDER WIN(C418),T H So,L Ho,124,1066,9,8-3/4,13 13 10 ,0:58.21,275,19-20-40,Class 4,ST,1000M,GOOD TO FIRM,"TURF - ""A"" Course"
11,10,APOLLOS BOW(C384),H N Wong,Y S Tsui,122,1158,11,8-3/4,3 8 11 ,0:58.21,146,19-20-40,Class 4,ST,1000M,GOOD TO FIRM,"TURF - ""A"" Course"
12,14,HAPPY GOOD GUYS(B466),H W Lai,P F Yiu,118,1120,6,8-3/4,5 3 12 ,0:58.22,11,19-20-40,Class 4,ST,1000M,GOOD TO FIRM,"TURF - ""A"" Course"
13,5,TARGET FINDER(C154),M L Yeung,C W Chang,125,1081,3,10-1/4,14 14 13 ,0:58.45,208,19-20-40,Class 4,ST,1000M,GOOD TO FIRM,"TURF - ""A"" Course"
14,6,GLORIOUS BUDDY(C405),C Y Ho,C S Shum,126,1052,1,12-1/4,8 12 14 ,0:58.76,30,19-20-40,Class 4,ST,1000M,GOOD TO FIRM,"TURF - ""A"" Course"
Pla,Horse No,Horse,Jockey,Trainer,Act Wt,Declare Horse Wt,Draw,LBW,RunningPos,Finish Time,Win Odds,RaceID,Class,Loc,Length,Going,Track
1,13,FUN TIMES(B079),K Teetan,A T Millard,118,1114,8,-,4 9 5 1 ,1:21.54,11,19-20-41,Class 4,ST,1400M,GOOD TO FIRM,"TURF - ""A"" Course"
2,7,RELENTLESS ME(A178),J Moreira,D J Whyte,126,1142,4,1-1/4,2 1 1 2 ,1:21.76,3.1,19-20-41,Class 4,ST,1400M,GOOD TO FIRM,"TURF - ""A"" Course"
3,14,MR MAGELLAN(C008),G van Niekerk,Y S Tsui,118,1084,2,2-1/2,5 3 3 3 ,1:21.94,4.3,19-20-41,Class 4,ST,1400M,GOOD TO FIRM,"TURF - ""A"" Course"
4,9,VILLA FIONN(B339),M Chadwick,P F Yiu,124,1013,14,2-3/4,13 13 12 4 ,1:21.99,20,19-20-41,Class 4,ST,1400M,GOOD TO FIRM,"TURF - ""A"" Course"
5,3,SEVENTY SEVENTY(B191),Z Purton,D J Hall,132,1116,9,3-1/2,10 10 11 5 ,1:22.09,6.5,19-20-41,Class 4,ST,1400M,GOOD TO FIRM,"TURF - ""A"" Course"
6,12,LOTUS BREEZE(T112),C Schofield,W Y So,120,1078,11,3-3/4,9 11 9 6 ,1:22.13,11,19-20-41,Class 4,ST,1400M,GOOD TO FIRM,"TURF - ""A"" Course"
7,11,GOLDEN FOUR(B225),U Rispoli,C W Chang,122,1012,3,4,8 7 7 7 ,1:22.17,17,19-20-41,Class 4,ST,1400M,GOOD TO FIRM,"TURF - ""A"" Course"
8,2,SHOUSON(C326),N Callan,J Moore,133,1120,5,8,3 6 4 8 ,1:22.80,14,19-20-41,Class 4,ST,1400M,GOOD TO FIRM,"TURF - ""A"" Course"
9,4,FORTUNATE RUNNER(A292),C Y Ho,K W Lui,129,1171,13,8-1/4,11 14 13 9 ,1:22.88,12,19-20-41,Class 4,ST,1400M,GOOD TO FIRM,"TURF - ""A"" Course"
10,1,AMAZING CHOCOLATE(C059),A Sanna,R Gibson,133,1198,6,9,12 8 8 10 ,1:22.97,50,19-20-41,Class 4,ST,1400M,GOOD TO FIRM,"TURF - ""A"" Course"
11,8,PHENOMENAL(C255),H N Wong,K H Ting,121,1105,7,10-1/2,1 2 2 11 ,1:23.23,306,19-20-41,Class 4,ST,1400M,GOOD TO FIRM,"TURF - ""A"" Course"
12,6,PARTY EVERYDAY(C414),K C Leung,A S Cruz,128,1127,10,11-1/2,7 4 10 12 ,1:23.40,28,19-20-41,Class 4,ST,1400M,GOOD TO FIRM,"TURF - ""A"" Course"
13,10,SUPERB AGILITY(C354),H T Mo,L Ho,120,1113,12,14,14 12 14 13 ,1:23.77,207,19-20-41,Class 4,ST,1400M,GOOD TO FIRM,"TURF - ""A"" Course"
14,5,LUCKY WINDRIDER(C308),R Bayliss,C Fownes,128,966,1,26,6 5 6 14 ,1:25.69,82,19-20-41,Class 4,ST,1400M,GOOD TO FIRM,"TURF - ""A"" Course"
Pla,Horse No,Horse,Jockey,Trainer,Act Wt,Declare Horse Wt,Draw,LBW,RunningPos,Finish Time,Win Odds,RaceID,Class,Loc,Length,Going,Track
1,5,ELITE BOY(B015),M F Poon,K H Ting,122,1036,4,-,1 1 1 ,1:09.34,21,19-20-42,Class 4,ST,1200M,GOOD,ALL WEATHER TRACK
2,2,PRINCE OF GEMS(C031),J Moreira,C H Yip,133,1152,6,1,3 4 2 ,1:09.49,2.3,19-20-42,Class 4,ST,1200M,GOOD,ALL WEATHER TRACK
3,12,STAR SUPERIOR(V255),G van Niekerk,C W Chang,114,1069,8,2-1/4,11 10 3 ,1:09.67,13,19-20-42,Class 4,ST,1200M,GOOD,ALL WEATHER TRACK
4,3,STRATHCLYDE(V225),K Teetan,A T Millard,133,1190,5,2-1/2,5 5 4 ,1:09.73,8.7,19-20-42,Class 4,ST,1200M,GOOD,ALL WEATHER TRACK
5,1,CASA DE FORCA(C289),C Y Ho,A S Cruz,133,1201,2,3,4 3 5 ,1:09.81,5,19-20-42,Class 4,ST,1200M,GOOD,ALL WEATHER TRACK
6,4,TOUCH OF LUCK(B376),Z Purton,J Moore,132,1174,10,8-1/2,6 9 6 ,1:10.71,5.1,19-20-42,Class 4,ST,1200M,GOOD,ALL WEATHER TRACK
7,6,JAZZ STEED(C406),C Schofield,C Fownes,125,1188,9,9,7 6 7 ,1:10.78,25,19-20-42,Class 4,ST,1200M,GOOD,ALL WEATHER TRACK
8,11,JOYFUL CONTENDER(B364),M Chadwick,R Gibson,114,1098,12,11-3/4,12 12 8 ,1:11.22,44,19-20-42,Class 4,ST,1200M,GOOD,ALL WEATHER TRACK
9,9,BOND ELEGANCE(A007),A Sanna,D J Whyte,118,1033,11,12,10 7 9 ,1:11.24,35,19-20-42,Class 4,ST,1200M,GOOD,ALL WEATHER TRACK
