Pla,Loc,Track,Going,Dist,Draw,JW,AW,Time,WOdd
6,0,0,2,1650,10,133,1148,100.46,21.0
7,0,0,2,1650,2,114,1265,100.55,23.0
8,0,0,2,1650,1,123,1122,100.57,14.0
9,0,0,2,1650,7,117,1137,100.63,8.6
10,0,0,2,1650,4,120,1081,103.65,14.0
1,0,0,2,1650,3,122,1169,101.22,7.0
2,0,0,2,1650,6,124,1109,101.51,24.0
3,0,0,2,1650,5,116,1090,101.59,7.0
4,0,0,2,1650,4,123,1139,101.66,12.0
5,0,0,2,1650,11,124,1056,101.68,11.0
6,0,0,2,1650,12,124,1107,101.73,25.0
7,0,0,2,1650,1,123,1169,101.75,14.0
8,0,0,2,1650,10,120,1145,101.75,3.4
9,0,0,2,1650,8,122,1121,101.82,6.3
10,0,0,2,1650,2,123,1043,101.99,26.0
11,0,0,2,1650,7,121,1110,102.01,33.0
12,0,0,2,1650,9,130,1085,102.55,10.0
1,0,0,2,1200,1,111,1156,69.69,5.3
2,0,0,2,1200,3,123,1188,69.73,7.4
3,0,0,2,1200,8,124,1177,69.91,6.5
4,0,0,2,1200,5,117,1142,70.02,7.2
5,0,0,2,1200,7,122,1149,70.16,5.7
6,0,0,2,1200,9,111,1047,70.47,12.0
7,0,0,2,1200,2,129,1040,70.52,47.0
8,0,0,2,1200,11,118,1145,70.7,161.0
9,0,0,2,1200,6,133,1179,70.98,11.0
10,0,0,2,1200,4,127,1052,70.99,6.6
11,0,0,2,1200,12,109,1043,71.29,96.0
12,0,0,2,1200,10,120,1161,71.91,14.0
1,0,0,2,1200,4,111,1112,69.74,5.9
2,0,0,2,1200,2,119,1064,69.94,10.0
3,0,0,2,1200,7,116,1091,69.94,14.0
4,0,0,2,1200,3,124,1206,69.95,4.1
5,0,0,2,1200,8,133,1006,70.25,26.0
6,0,0,2,1200,11,127,1095,70.31,6.5
7,0,0,2,1200,10,114,1083,70.32,6.7
8,0,0,2,1200,1,117,1150,70.36,8.2
9,0,0,2,1200,6,133,1236,70.51,14.0
10,0,0,2,1200,12,113,1040,70.52,80.0
11,0,0,2,1200,9,123,1192,71.53,35.0
12,0,0,2,1200,5,125,1205,71.62,14.0
1,0,0,2,1800,2,121,1091,110.15,3.2
2,0,0,2,1800,7,111,1157,110.2,4.7
3,0,0,2,1800,6,128,1152,110.45,9.7
4,0,0,2,1800,5,131,1026,110.5,31.0
5,0,0,2,1800,3,133,1061,110.6,11.0
6,0,0,2,1800,4,121,1063,110.96,3.4
7,0,0,2,1800,1,117,1090,111.32,5.8
-1,0,0,2,1800,0,129,0,0,-1
1,0,0,2,1650,4,129,1132,102.0,3.6
2,0,0,2,1650,3,114,1148,102.21,4.3
3,0,0,2,1650,1,133,1044,102.23,4.8
4,0,0,2,1650,2,119,1016,102.27,9.6
5,0,0,2,1650,12,127,1040,102.44,13.0
6,0,0,2,1650,5,121,1105,102.44,23.0
7,0,0,2,1650,9,115,1032,102.51,15.0
8,0,0,2,1650,10,126,1131,102.65,20.0
9,0,0,2,1650,8,111,1002,102.67,19.0
10,0,0,2,1650,6,128,1040,102.73,91.0
11,0,0,2,1650,7,126,1122,102.81,9.7
-1,0,0,2,1650,0,127,0,0,-1
1,0,0,2,1200,9,119,1051,70.77,12.0
2,0,0,2,1200,5,132,1131,70.77,1.9
3,0,0,2,1200,3,125,1043,70.89,7.2
4,0,0,2,1200,1,126,1078,71.03,14.0
5,0,0,2,1200,2,133,1090,71.05,7.8
6,0,0,2,1200,6,124,1080,71.2,13.0
7,0,0,2,1200,7,125,1067,71.27,20.0
8,0,0,2,1200,8,122,1082,71.46,16.0
9,0,0,2,1200,11,123,1260,71.46,135.0
10 ,0,0,2,1200,10,120,1063,71.47,12.0
10 ,0,0,2,1200,4,111,1073,71.47,124.0
12,0,0,2,1200,12,117,1059,72.02,106.0
1,0,0,2,1200,6,133,1137,70.78,5.9
2,0,0,2,1200,2,127,1096,70.83,4.3
3,0,0,2,1200,3,116,1180,71.04,22.0
4,0,0,2,1200,12,126,1043,71.06,32.0
5,0,0,2,1200,11,133,1159,71.15,16.0
6,0,0,2,1200,7,125,1038,71.27,13.0
7,0,0,2,1200,10,129,1061,71.4,12.0
8,0,0,2,1200,5,118,1140,71.48,4.2
9,0,0,2,1200,4,125,1056,71.49,11.0
10,0,0,2,1200,9,126,1168,71.51,15.0
